dep_lat,dep_lon,arr_lat,arr_lon,nb_flights,CO2
25.3014957,51.4996674,-42.6538942,147.2415779,241,0
25.3014957,51.4996674,18.9321862,72.8308337,3610,0
25.3014957,51.4996674,21.1498134,79.0820556,237,0
25.3014957,51.4996674,8.5058909,76.9570481,1397,0
13.9122207,100.6035314,12.9791198,77.5912997,528,0
13.9122207,100.6035314,13.0801721,80.2838331,449,0
13.9122207,100.6035314,24.7964355,85.0079563,3,0
13.9122207,100.6035314,9.9633864,76.2536614,243,0
13.9122207,100.6035314,22.5677459,88.3476023,74,0
25.2683521,55.2961962,23.0216238,72.5797068,3280,0
25.2683521,55.2961962,31.6343083,74.8736788,1501,0
25.2683521,55.2961962,12.9791198,77.5912997,6065,0
25.2683521,55.2961962,30.7194022,76.7646552,127,0
25.2683521,55.2961962,13.0801721,80.2838331,7693,0
25.2683521,55.2961962,28.6517178,77.2219388,15247,0
25.2683521,55.2961962,15.3004543,74.0855134,324,0
25.2683521,55.2961962,17.41500345,78.41936588,7862,0
25.2683521,55.2961962,26.9161293,75.8204056,788,0
25.2683521,55.2961962,9.9633864,76.2536614,8689,0
25.2683521,55.2961962,22.5677459,88.3476023,2556,0
25.2683521,55.2961962,11.2446144,75.7759372,4175,0
25.2683521,55.2961962,26.8381,80.9346001,1385,0
25.2683521,55.2961962,9.9261153,78.1140983,971,0
25.2683521,55.2961962,-42.6538942,147.2415779,2893,0
25.2683521,55.2961962,18.9321862,72.8308337,18668,0
25.2683521,55.2961962,18.5203062,73.8543185,1059,0
25.2683521,55.2961962,25.2747757,55.3020601,949,0
25.2683521,55.2961962,8.5058909,76.9570481,4720,0
25.2683521,55.2961962,17.7231276,83.3012842,279,0
38.5425835,68.81521319,28.6517178,77.2219388,61,0
50.110653,8.682093,31.6343083,74.8736788,0,0
50.110653,8.682093,12.9791198,77.5912997,1660,0
50.110653,8.682093,13.0801721,80.2838331,1360,0
50.110653,8.682093,28.6517178,77.2219388,3629,0
50.110653,8.682093,17.41500345,78.41936588,0,0
50.110653,8.682093,22.5677459,88.3476023,0,0
50.110653,8.682093,18.9321862,72.8308337,1701,0
50.110653,8.682093,18.5203062,73.8543185,211,0
23.1387267,113.319321,28.6517178,77.2219388,1432,0
23.1387267,113.319321,18.9321862,72.8308337,0,0
6.6259477,73.0702311,8.5058909,76.9570481,48,0
25.2747757,55.3020601,28.6517178,77.2219388,736,0
10.7758439,106.7017555,28.6517178,77.2219388,17,0
10.7758439,106.7017555,18.9321862,72.8308337,45,0
22.2793278,114.1628131,12.9791198,77.5912997,1191,0
22.2793278,114.1628131,13.0801721,80.2838331,1195,0
22.2793278,114.1628131,28.6517178,77.2219388,4692,0
22.2793278,114.1628131,17.41500345,78.41936588,653,0
22.2793278,114.1628131,22.5677459,88.3476023,348,0
22.2793278,114.1628131,18.9321862,72.8308337,3614,0
41.0096334,28.9651646,28.6517178,77.2219388,1668,0
41.0096334,28.9651646,18.9321862,72.8308337,1763,0
21.5822247,39.1640396,12.9791198,77.5912997,397,0
21.5822247,39.1640396,13.0801721,80.2838331,465,0
21.5822247,39.1640396,28.6517178,77.2219388,1711,0
21.5822247,39.1640396,17.41500345,78.41936588,1263,0
21.5822247,39.1640396,9.9633864,76.2536614,2406,0
21.5822247,39.1640396,11.2446144,75.7759372,443,0
21.5822247,39.1640396,26.8381,80.9346001,909,0
21.5822247,39.1640396,18.9321862,72.8308337,3317,0
-26.205,28.049722,18.9321862,72.8308337,85,0
34.5,69.416667,28.6517178,77.2219388,1995,0
31.6257718,65.7144771,28.6517178,77.2219388,39,0
24.8667795,67.0311286,28.6517178,77.2219388,71,0
24.8667795,67.0311286,18.9321862,72.8308337,148,0
27.708796,85.320244,12.9791198,77.5912997,0,0
27.708796,85.320244,28.6517178,77.2219388,5347,0
27.708796,85.320244,22.5677459,88.3476023,270,0
27.708796,85.320244,18.9321862,72.8308337,970,0
27.708796,85.320244,25.3356491,83.0076292,42,0
28.0685173,-16.7321193,31.6343083,74.8736788,274,0
28.0685173,-16.7321193,12.9791198,77.5912997,1221,0
28.0685173,-16.7321193,13.0801721,80.2838331,1796,0
28.0685173,-16.7321193,28.6517178,77.2219388,3235,0
28.0685173,-16.7321193,15.3004543,74.0855134,9,0
28.0685173,-16.7321193,17.41500345,78.41936588,1232,0
28.0685173,-16.7321193,9.9633864,76.2536614,2279,0
28.0685173,-16.7321193,22.5677459,88.3476023,788,0
28.0685173,-16.7321193,18.9321862,72.8308337,2335,0
28.0685173,-16.7321193,25.2747757,55.3020601,4057,0
28.0685173,-16.7321193,8.5058909,76.9570481,218,0
28.0685173,-16.7321193,17.7231276,83.3012842,321,0
25.0515153,102.7017638,28.6517178,77.2219388,127,0
25.0515153,102.7017638,22.5677459,88.3476023,552,0
29.2733964,47.4979476,23.0216238,72.5797068,364,0
29.2733964,47.4979476,12.9791198,77.5912997,210,0
29.2733964,47.4979476,13.0801721,80.2838331,983,0
29.2733964,47.4979476,28.6517178,77.2219388,985,0
29.2733964,47.4979476,15.3004543,74.0855134,163,0
29.2733964,47.4979476,17.41500345,78.41936588,120,0
29.2733964,47.4979476,9.9633864,76.2536614,1196,0
29.2733964,47.4979476,11.2446144,75.7759372,412,0
29.2733964,47.4979476,-42.6538942,147.2415779,194,0
29.2733964,47.4979476,18.9321862,72.8308337,2908,0
29.2733964,47.4979476,8.5058909,76.9570481,525,0
31.5195822,74.326297,28.6517178,77.2219388,69,0
51.3391827,12.3810549,12.9791198,77.5912997,0,0
51.3391827,12.3810549,28.6517178,77.2219388,0,0
51.3391827,12.3810549,18.9321862,72.8308337,0,0
51.5073219,-0.1276474,23.0216238,72.5797068,371,0
51.5073219,-0.1276474,31.6343083,74.8736788,63,0
51.5073219,-0.1276474,12.9791198,77.5912997,1272,0
51.5073219,-0.1276474,13.0801721,80.2838331,978,0
51.5073219,-0.1276474,28.6517178,77.2219388,8139,0
51.5073219,-0.1276474,15.3004543,74.0855134,87,0
51.5073219,-0.1276474,17.41500345,78.41936588,1010,0
51.5073219,-0.1276474,18.9321862,72.8308337,7025,0
49.8158683,6.1296751,13.0801721,80.2838331,0,0
49.8158683,6.1296751,28.6517178,77.2219388,0,0
49.8158683,6.1296751,18.9321862,72.8308337,0,0
40.4167047,-3.7035825,28.6517178,77.2219388,51,0
16.3700359,-2.2900239,12.9791198,77.5912997,388,0
16.3700359,-2.2900239,13.0801721,80.2838331,153,0
16.3700359,-2.2900239,28.6517178,77.2219388,61,0
16.3700359,-2.2900239,26.9161293,75.8204056,0,0
16.3700359,-2.2900239,9.9633864,76.2536614,371,0
16.3700359,-2.2900239,18.9321862,72.8308337,0,0
16.3700359,-2.2900239,8.5058909,76.9570481,910,0
45.6296273,8.723547469,28.6517178,77.2219388,547,0
45.6296273,8.723547469,18.9321862,72.8308337,0,0
53.4791301,-2.2441009,15.3004543,74.0855134,104,0
20.9872395,95.7656747,24.7964355,85.0079563,0,0
25.2747757,55.3020601,12.9791198,77.5912997,120,0
25.2747757,55.3020601,13.0801721,80.2838331,113,0
25.2747757,55.3020601,28.6517178,77.2219388,437,0
25.2747757,55.3020601,18.9321862,72.8308337,847,0
36.2974945,59.6059232,28.6517178,77.2219388,12,0
35.8248991,10.6375171,28.6517178,77.2219388,144,0
35.8248991,10.6375171,17.41500345,78.41936588,3,0
35.8248991,10.6375171,9.9633864,76.2536614,0,0
35.8248991,10.6375171,18.9321862,72.8308337,155,0
-37.8142176,144.9631608,28.6517178,77.2219388,539,0
55.7507178,37.6176606,28.6517178,77.2219388,1835,0
55.7507178,37.6176606,15.3004543,74.0855134,324,0
55.7507178,37.6176606,17.41500345,78.41936588,0,0
48.1371079,11.5753822,28.6517178,77.2219388,1189,0
48.1371079,11.5753822,18.9321862,72.8308337,1118,0
23.5125498,58.55137344,23.0216238,72.5797068,569,0
23.5125498,58.55137344,12.9791198,77.5912997,1050,0
23.5125498,58.55137344,13.0801721,80.2838331,2189,0
23.5125498,58.55137344,28.6517178,77.2219388,2671,0
23.5125498,58.55137344,15.3004543,74.0855134,491,0
23.5125498,58.55137344,17.41500345,78.41936588,1928,0
23.5125498,58.55137344,26.9161293,75.8204056,757,0
23.5125498,58.55137344,9.9633864,76.2536614,2874,0
23.5125498,58.55137344,11.2446144,75.7759372,1999,0
23.5125498,58.55137344,26.8381,80.9346001,1084,0
23.5125498,58.55137344,-42.6538942,147.2415779,341,0
23.5125498,58.55137344,18.9321862,72.8308337,4054,0
23.5125498,58.55137344,8.5058909,76.9570481,2148,0
-1.2832533,36.8172449,18.9321862,72.8308337,1461,0
35.7783351,140.3192361,28.6517178,77.2219388,1298,0
35.7783351,140.3192361,18.9321862,72.8308337,327,0
40.1034582,65.3734221,28.6517178,77.2219388,0,0
40.1034582,65.3734221,18.9321862,72.8308337,0,0
40.7306458,-73.9866136,28.6517178,77.2219388,1414,0
40.7306458,-73.9866136,18.9321862,72.8308337,425,0
40.735657,-74.1723667,23.0216238,72.5797068,440,0
40.735657,-74.1723667,28.6517178,77.2219388,1272,0
40.735657,-74.1723667,18.9321862,72.8308337,2697,0
34.704365,135.501887,28.6517178,77.2219388,107,0
34.704365,135.501887,22.5677459,88.3476023,0,0
34.704365,135.501887,18.9321862,72.8308337,15,0
48.8566101,2.3514992,12.9791198,77.5912997,987,0
48.8566101,2.3514992,13.0801721,80.2838331,139,0
48.8566101,2.3514992,28.6517178,77.2219388,2352,0
48.8566101,2.3514992,18.9321862,72.8308337,2314,0
27.4646365,89.3183409,28.6517178,77.2219388,337,0
27.4646365,89.3183409,22.5677459,88.3476023,338,0
39.9059631,116.391248,28.6517178,77.2219388,1766,0
16.7967129,96.1609916,28.6517178,77.2219388,38,0
16.7967129,96.1609916,24.7964355,85.0079563,273,0
16.7967129,96.1609916,22.5677459,88.3476023,105,0
16.7967129,96.1609916,25.3356491,83.0076292,0,0
25.2747757,55.3020601,11.2446144,75.7759372,99,0
25.2747757,55.3020601,8.5058909,76.9570481,0,0
-21.1309332,55.5265771,13.0801721,80.2838331,38,0
24.6319692,46.7150648,12.9791198,77.5912997,130,0
24.6319692,46.7150648,13.0801721,80.2838331,527,0
24.6319692,46.7150648,28.6517178,77.2219388,1476,0
24.6319692,46.7150648,17.41500345,78.41936588,673,0
24.6319692,46.7150648,9.9633864,76.2536614,1411,0
24.6319692,46.7150648,11.2446144,75.7759372,290,0
24.6319692,46.7150648,26.8381,80.9346001,653,0
24.6319692,46.7150648,18.9321862,72.8308337,3018,0
24.6319692,46.7150648,8.5058909,76.9570481,415,0
41.8933203,12.4829321,28.6517178,77.2219388,676,0
17.0149036,54.0956972,9.9633864,76.2536614,81,0
17.0149036,54.0956972,11.2446144,75.7759372,160,0
17.0149036,54.0956972,8.5058909,76.9570481,55,0
37.7792808,-122.4192363,12.9791198,77.5912997,22,0
37.7792808,-122.4192363,28.6517178,77.2219388,322,0
15.342101,44.2005197,18.9321862,72.8308337,46,0
37.5666791,126.9782914,13.0801721,80.2838331,0,0
37.5666791,126.9782914,28.6517178,77.2219388,939,0
37.5666791,126.9782914,18.9321862,72.8308337,473,0
-4.6574977,55.4540146,18.9321862,72.8308337,383,0
31.2253441,121.4888922,28.6517178,77.2219388,602,0
31.2253441,121.4888922,18.9321862,72.8308337,201,0
25.3585432,55.3895321,23.0216238,72.5797068,900,0
25.3585432,55.3895321,31.6343083,74.8736788,1,0
25.3585432,55.3895321,12.9791198,77.5912997,885,0
25.3585432,55.3895321,30.7194022,76.7646552,57,0
25.3585432,55.3895321,13.0801721,80.2838331,1071,0
25.3585432,55.3895321,11.0018115,76.9628425,674,0
25.3585432,55.3895321,28.6517178,77.2219388,1863,0
25.3585432,55.3895321,15.3004543,74.0855134,536,0
25.3585432,55.3895321,17.41500345,78.41936588,960,0
25.3585432,55.3895321,26.9161293,75.8204056,944,0
25.3585432,55.3895321,9.9633864,76.2536614,4062,0
25.3585432,55.3895321,11.2446144,75.7759372,2961,0
25.3585432,55.3895321,26.8381,80.9346001,1,0
25.3585432,55.3895321,-42.6538942,147.2415779,66,0
25.3585432,55.3895321,18.9321862,72.8308337,2026,0
25.3585432,55.3895321,21.1498134,79.0820556,513,0
25.3585432,55.3895321,18.5203062,73.8543185,62,0
25.3585432,55.3895321,25.2747757,55.3020601,114,0
25.3585432,55.3895321,8.5058909,76.9570481,2940,0
25.3585432,55.3895321,25.3356491,83.0076292,328,0
25.3585432,55.3895321,17.7231276,83.3012842,1,0
22.5442673,114.0545327,18.9321862,72.8308337,0,0
1.2904753,103.8520359,23.0216238,72.5797068,573,0
1.2904753,103.8520359,31.6343083,74.8736788,216,0
1.2904753,103.8520359,12.9791198,77.5912997,2639,0
1.2904753,103.8520359,13.0801721,80.2838331,6016,0
1.2904753,103.8520359,11.0018115,76.9628425,404,0
1.2904753,103.8520359,28.6517178,77.2219388,5448,0
1.2904753,103.8520359,17.41500345,78.41936588,1677,0
1.2904753,103.8520359,9.9633864,76.2536614,1322,0
1.2904753,103.8520359,22.5677459,88.3476023,972,0
1.2904753,103.8520359,26.8381,80.9346001,166,0
1.2904753,103.8520359,18.9321862,72.8308337,5920,0
1.2904753,103.8520359,25.2747757,55.3020601,2693,0
1.2904753,103.8520359,8.5058909,76.9570481,372,0
1.2904753,103.8520359,17.7231276,83.3012842,195,0
-33.8548157,151.2164539,28.6517178,77.2219388,640,0
22.15259475,113.5583437,28.6517178,77.2219388,384,0
22.15259475,113.5583437,18.9321862,72.8308337,0,0
-6.1727031,106.6408501,18.9321862,72.8308337,35,0
41.3123363,69.2787079,31.6343083,74.8736788,190,0
41.3123363,69.2787079,28.6517178,77.2219388,658,0
35.7006177,51.401375,28.6517178,77.2219388,304,0
35.7006177,51.401375,18.9321862,72.8308337,268,0
22.1467368,-100.9405722,18.9321862,72.8308337,466,0
34.2255804,139.2947745,28.6517178,77.2219388,817,0
43.653963,-79.387207,28.6517178,77.2219388,1486,0
49.262428,-123.11554,28.6517178,77.2219388,29,0
48.2083537,16.3725042,28.6517178,77.2219388,767,0
47.3723957,8.5423216,28.6517178,77.2219388,1204,0
47.3723957,8.5423216,18.9321862,72.8308337,1169,0
